Store,Dept,Quarter,Q_2011,Q_2012,Q_2013
1,1,1,277732.55999999994,319569.19,363160.01615999994
1,1,2,296287.24000000005,280039.64,282034.28664000006
1,1,3,225674.59,225652.26,227385.2848799996
1,1,4,371856.41,96244.56,17739.276044112878
1,2,1,547116.57,611057.2500000001,673396.9079600002
1,2,2,593537.01,611468.99,653989.3486799994
1,2,3,635324.82,603937.21,591303.5910399989
1,2,4,613442.8899999999,176179.35,38204.64421333563
1,3,1,137166.63,144876.78999999998,163773.5085999999
1,3,2,109887.0,111184.84,117019.92195999993
1,3,3,282178.82,308498.86,294488.5149599998
1,3,4,136775.38,40063.92000000001,5809.636082386668
1,4,1,425232.69,485811.6,526444.9156800002
1,4,2,464791.38,502167.92,519841.93491999863
1,4,3,504440.15,494269.2700000001,473619.40927999915
1,4,4,501644.38,146599.9,38464.73614317828
1,5,1,297624.67999999993,359798.25000000006,391848.4242800005
1,5,2,247027.74,261406.65,267574.1742800002
1,5,3,264881.10000000003,248091.17,241141.85999999996
1,5,4,496300.0,92689.61,16926.934501493437
1,6,1,40410.77,51481.09000000001,56065.881599999906
1,6,2,52396.26,56838.51,50716.78499999994
1,6,3,51745.61,36237.12,36323.85239999998
1,6,4,98881.32,15161.07,2678.700250718472
1,7,1,224296.51,202949.13,226424.38624000025
1,7,2,327771.68000000005,316806.09000000014,315616.37776000006
1,7,3,219943.27,237532.22,234992.37200000024
1,7,4,529279.16,85671.4,13973.06035970664
1,8,1,422627.94,478174.51000000007,532510.6311200008
1,8,2,452555.0999999999,505632.48,544923.2713599991
1,8,3,472451.85,487291.54,472539.46575999947
1,8,4,460074.07,157836.32,37754.84952710018
1,9,1,261053.14,335081.73,386338.79915999953
1,9,2,339753.88,396827.25,421584.35332000005
1,9,3,357007.6,384821.73,361687.5524000001
1,9,4,454968.8300000001,155297.41,38110.74416063352
1,10,1,378572.74,436455.0799999999,471139.68144000025
1,10,2,403659.06,431276.68000000005,462995.5292399997
1,10,3,425559.82,402094.6,388751.4265199999
1,10,4,393127.4600000001,111353.83,21403.552466360852
1,11,1,265838.39,305989.73,370325.29876000056
1,11,2,370032.62,371160.35,385351.0243599999
1,11,3,358976.6400000001,311182.8999999999,292585.57807999966
1,11,4,339301.35,84890.92000000001,17306.55334973597
1,12,1,119403.2,132697.06,157926.15540000008
1,12,2,157685.61000000002,146381.39,154467.10648000007
1,12,3,145961.38999999998,145058.33,148000.59843999965
1,12,4,122529.35000000002,38509.8,6367.802356396579
1,13,1,449639.81,515768.86,553813.8731999992
1,13,2,483028.07,522640.09,489738.37919999973
1,13,3,537587.4600000001,530876.1900000001,506464.05899999855
1,13,4,485456.41,158615.88,39811.769911453724
1,14,1,178411.08,204211.61,220145.8093599999
1,14,2,174084.23000000007,193308.20000000004,205432.1348
1,14,3,175124.78,169911.88999999998,162092.08736000027
1,14,4,280583.05,49017.36,4090.020318095239
1,16,1,224466.02,288952.83,333310.0554799999
1,16,2,536327.4600000001,550119.92,559737.4926000002
1,16,3,267589.43999999994,279007.66000000003,275615.2913599998
1,16,4,94481.75,41299.13,6672.951605745916
1,17,1,119712.49,119485.49,133214.55343999973
1,17,2,110569.93,103860.46,110172.03491999989
1,17,3,109914.04,103802.27,102473.94932000003
1,17,4,129010.88000000002,32230.230000000003,8013.7779137306725
1,18,1,52144.07,67262.99,79197.82211999985
1,18,2,30258.98,19496.670000000006,22335.717159999997
1,18,3,6927.36,8905.58,10253.755960000004
1,18,4,270400.97,43966.62,3833.8194783158115
1,19,1,15311.2,12281.49,16492.721839999995
1,19,2,14189.78,14613.850000000002,17044.36128000001
1,19,3,12692.93,13729.42,13710.562599999994
1,19,4,14948.9,5496.63,818.6282367020953
1,20,1,43118.580000000016,62250.979999999974,69442.60156000007
1,20,2,51106.69,58696.49,64166.127160000004
1,20,3,58898.92,53766.65,51415.78788000003
1,20,4,46093.64000000001,13631.82,1718.6202781771444
1,21,1,88704.59,103123.97,112325.23471999995
1,21,2,93267.85,96551.3,101241.58692000006
1,21,3,108477.74999999996,91332.65,81285.78148000005
1,21,4,118038.09,30620.15,9997.43615635468
1,22,1,112831.35,115618.21,141776.09380000006
1,22,2,84266.78,86638.35000000003,86220.45883999995
1,22,3,98819.54,86177.75000000001,85453.19031999994
1,22,4,128233.0,33260.57,7555.585168637339
1,23,1,244035.05,255263.36,268822.6000400001
1,23,2,271475.49,287186.36,310828.73588000005
1,23,3,262104.33,254766.24,241718.7678800002
1,23,4,339245.42,79155.44,19513.711223101305
1,24,1,69502.71,66408.23000000001,73602.20467999995
1,24,2,54919.03,59105.0,64535.935839999984
1,24,3,81014.92,99620.93,95492.30595999995
1,24,4,95406.64,27517.53,10041.50159356534
1,25,1,111024.67,129624.36,143895.97615999982
